Country,x,x1,x2,x3,x4,x5,x6,x7,x8
Australia,529.7,162.6,0.8954,4.894659996,6.300000191,1745.9,12.1,114,24.27534477
Austria,513.7,98.8,0.729521111,5.599569798,3.5,2415.8,16,86,27.39500606
Belgium,507.7,144.7,0.834773333,5.8,6.599999905,1845.3,14.8,85,26.41792721
Canada,532,101.5,0.807522222,5.456170082,6.800000191,2099.8,17.7,115,26.30054972
Czech Republic,500.3,88.5,0.782677778,3.661299944,8.800000191,361.2,18.4,210,29.64764839
Denmark,497.3,127.1,0.803716278,8.084349632,4.5,2612.7,5.4,63,29.06213826
Finland,540,124.8,0.765366667,5.716879845,9.699999809,1700.3,12,55,33.07329317
France,507.3,108.8,0.760927806,5.516739845,10.19999981,2209.2,18.5,82,23.47386358
Germany,487,99.8,0.7873,4.3,7.699999809,2397.8,12.18789,85,24.19233822
Greece,460.7,89.9,0.680084444,3.221260071,11.10000038,918.4,15.8,70,14.84677104
Hungary,488,96.2,0.754902628,4.873390198,6.400000095,325.7,11.6,152,24.6750092
Iceland,505.7,107.4,0.785633333,6.504169941,2.299999952,2966.4,4,28,17.64142486
Ireland,514.3,99.4,0.836588889,4.137420177,4.300000191,1693.3,23.2,64,38.37305721
Italy,474,92.5,0.695473333,4.297150135,10.80000019,1588,13,93,21.55848874
Japan,543,101.8,0.766997045,3.618880033,4.800000191,2838.6,30.8,48,28.7364488
Latvia,460.3,91.1,0.708694444,5.290279865,14.19999981,196.4,8.7,370,16.73664428
Liechtenstein,491,95.4,0.766829304,1.9,2.9,2282.5,11.92647,74,16.876
Luxembourg,443.3,97.1,0.73373053,3.9,2.299999952,3500,18.4,90,47.44187998
Mexico,410.3,69.9,0.544288323,4.134109974,2.599999905,322.1,22.4,156,21.92782865
New Zealand,531.3,110.6,0.884566667,5.9,6.199999809,1056.1,13.5,148,25.00771869
Norway,501.3,116.1,0.870211111,6.464660168,3.400000095,3164.8,16.81,57,38.5507923
Poland ,477.3,99.2,0.779609128,4.993619919,16.10000038,247.1,12.4,184,18.29908223
Portugal,461,104.8,0.656069292,5.161779881,3.900000095,1055.7,16.5,126,17.72266588
Russian Federation,466.7,97.6,0.722677778,2.939810038,10.60000038,96.2,17.68,729,38.72098117
South Korea,541.3,98.4,0.797144444,3,4.400000095,504.9,14.35154,136,35.0122366
Spain,486.7,110.3,0.720953685,4.176370144,14.19999981,1045.5,13.91752,113,23.57400387
Sweden,512.7,95.4,0.866283333,6.818840027,5.900000095,2282.5,9.3,60,28.62266936
Switzerland,506.3,95.4,0.803632084,4.788360119,2.700000048,3540.9,11.95081,80,31.1450618
United Kingdom,528,101.9,0.83555079,4.3,5.599999905,1763.5,23.2,124,16.91074632
United States,498.7,93.2,0.849881996,4.332459927,4.099999905,4788.3,21.2,683,19.91503075
