Country,x0,x11,x21,x31,x41,x51,x61,x71 ,x81
Australia,518.7,132.5,0.918815358,5.568940163,5.199999809,5324.5,13.9,135,26.59645264
Austria,472.7,98.9,0.794481027,5.725019932,4.400000095,5049.6,12.41306,102,25.97781945
Belgium,509.3,105.8,0.806736133,6.407989979,8.300000191,4419.4,13.9,97,24.48879144
Canada,526.7,102.4,0.8503,5.371150017,8,5347.7,17.25878,117,21.62049802
Czech Republic,490.3,94.8,0.863444444,4.073520184,7.300000191,1410,13.9,209,30.27315765
Denmark,499,119.6,0.872826055,8.617970467,7.5,6266.8,5.52632,71,24.53163458
Finland,543.7,107.3,0.812311111,6.540709972,8.399999619,4001.3,11,61,22.90058792
France,497,111.3,0.807183139,5.683420181,9.300000191,4583.7,20.3,99,20.02926222
Germany,510,104,0.878844837,4.913680077,7.099999905,4700.1,10.3,85,24.82306613
Greece,473,105,0.796988551,2,12.5,2458.7,11.9,102,8.423553464
Hungary,495.7,99.9,0.807671546,4.799429893,11.19999981,1019.9,10.9,163,26.04655559
Iceland,501,109.3,0.846866667,7.214029789,7.599999905,3690.4,6.1,52,24.08675355
Ireland,497,123.5,0.887066667,6.09528017,13.89999962,4238.2,18.3,81,33.98113558
Italy,486,102.2,0.783950244,4.349199772,8.399999619,3384.5,12.70434,112,18.5685221
Japan,529.3,101.6,0.802444444,3.781349897,5,4110.5,26.7,57,22.75799189
Latvia,481.3,98.3,0.821521177,5.085639954,18.70000076,739.4,11.2,333,17.84425373
Liechtenstein,501.7,108.9,0.750433333,2.6,2.6,4694.5,7.7,39,15.586
Luxembourg,481.7,101.3,0.762111044,5.8,4.400000095,7964.5,10.9,136,50.38418236
Mexico,420,83.2,0.63064341,5.197909832,5.199999809,591.7,25.4,194,20.85272758
New Zealand,524,119,0.916766667,7.053100109,6.5,3742.6,11.3,198,22.3772305
Norway,500.3,113.2,0.907144444,6.749949932,3.599999905,8164.5,18.96,74,36.58387801
Poland ,501,96.7,0.817020173,5.069270134,9.600000381,867.7,17,210,19.31519957
Portugal,489.7,106.9,0.712815073,5.402890205,10.80000019,2352.3,15.7,110,13.52235115
Russian Federation,465,85,0.779955556,4.1,7.300000191,727.4,19.96,609,30.69069393
South Korea,541,95.8,0.861731858,4.7,3.700000048,1505,19,97,35.20776759
Spain,484,124.4,0.782522678,4.819240093,20.20000076,2846.7,14.0399,165,22.24443595
Sweden,495.3,95.9,0.832911789,6.622000217,8.699999809,4694.5,5.99969,74,28.38021883
Switzerland,517.3,95.9,0.841311431,4.947869778,4.5,7807.6,11.9012,79,34.79529831
United Kingdom,500,101.9,0.877730929,5.940599918,7.900000095,3491.2,18.3,153,13.26760529
United States,496.3,94.3,0.886981429,5.420030117,9.699999809,8269.4,16.4,731,14.9687471
